Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri,nmo:hasMint^^uri,nmo:hasDenomination^^uri,nmo:hasStartDate^^xsd:gYear,nmo:hasEndDate^^xsd:gYear,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight,nmo:hasMinDiameter,nmo:hasMaxDiameter,nmo:hasDie^^id**1,1__nmo:hasAxis,nmo:hasObverse^^id**2,nmo:hasReverse^^id**3,2__nmo:hasContext,3__nmo:hasContext,2__nmo:hasWear,3__nmo:hasWear,2__nmo:hasCorrosion,3__nmo:hasCorrosion,2__nmo:hasLegend,3__nmo:hasLegend
afe:3342,,nm:ar,,nm:denarius,117,138,,,,,,,,,,,,,,,,,
afe:3378,,nm:ar,nm:rome,nm:denarius,75,79,,,2.67,,,,,1,1,,Mars n. l. mit Speer,,,,,,
afe:3379,,nm:ar,nm:rome,nm:denarius,76,79,,,2.44,,,,,,,,,,,,,,
afe:3380,,nm:ar,nm:rome,nm:denarius,140,143,,,2.51,,,,,,,,,,,,,,
afe:3381,,nm:ar,nm:rome,nm:denarius,141,161,,,2.73,,,,,,,,,,,,,,
afe:3382,,nm:ar,nm:rome,nm:denarius,178,178,,,2.51,,,,,,,,,,,,,,
afe:3383,,nm:ar,,nm:denarius,98,117,,,,,,,,,,,,,,,,,
afe:3384,,nm:ar,,nm:denarius,117,138,,,,,,,,,,,,,,,,,
afe:3385,,nm:ar,,nm:denarius,138,161,,,,,,,,,,,,,,,,,
afe:3386,,nm:ar,,nm:denarius,138,161,,,,,,,,,,,,,,,,,
afe:3387,,nm:ar,,nm:denarius,101,199,,,,,,,,,,,,,,,,,
afe:3388,,nm:ar,,nm:denarius,101,199,,,,,,,,,,,,,,,,,
afe:3389,,nm:ar,,nm:denarius,101,199,,,,,,,,,,,,,,,,,
afe:3390,,nm:ar,,nm:denarius,1,299,,,,,,,,,,,,,,,,,
afe:3391,,nm:ar,,nm:denarius,72,96,,,,,,,,,,,,,,,,,
afe:3392,,nm:ar,,nm:denarius,72,96,,,,,,,,,,,,,,,,,
afe:3393,,nm:ar,,nm:denarius,96,98,,,,,,,,,,,,,,,,,
afe:3394,,nm:ar,,nm:denarius,98,117,,,,,,,,,,,,,,,,,
afe:3395,,nm:ar,,nm:denarius,98,117,,,,,,,,,,,,,,,,,
afe:3396,,nm:ar,,nm:denarius,117,138,,,,,,,,,,,,,,,,,
afe:3397,,nm:ar,nm:rome,nm:denarius,73,73,,,2.95,,,,,,,,,,,,,,
afe:3398,,nm:ar,nm:rome,nm:denarius,75,75,,,3.03,,,,,,,,,,,,,,
afe:3399,,nm:ar,nm:rome,nm:denarius,97,97,,,3.08,,,,,,,,,,,,,,
afe:3400,,nm:ar,nm:rome,nm:denarius,103,111,,,3.19,,,,,,,,,,,,,,
afe:3401,,nm:ar,nm:rome,nm:denarius,119,122,,,2.97,,,,,,,,,,,,,,
afe:3402,,nm:ar,nm:rome,nm:denarius,134,138,,,3.21,,,,,,,,,,,,,,
afe:3403,,nm:ar,nm:rome,nm:denarius,134,138,,,3.2,,,,,,,,,,,,,,
afe:3404,,nm:ar,nm:rome,nm:denarius,134,138,,,3.24,,,,,,,,,,,,,,
afe:3405,,nm:ar,nm:rome,nm:denarius,134,138,,,3.16,,,,,,,,,,,,,,
afe:3406,,nm:ar,nm:rome,nm:denarius,134,138,,,3.26,,,,,,,,,,,,,,
afe:3407,,nm:ar,nm:rome,nm:denarius,134,138,,,3.31,,,,,,,,,,,,,,
afe:3408,,nm:ar,nm:rome,nm:denarius,139,139,,,3.73,,,,,,,,,,,,,,
afe:3409,,nm:ar,nm:rome,nm:denarius,143,144,,,3.14,,,,,,,,,,,,,,
afe:3410,,nm:ar,nm:rome,nm:denarius,143,144,,,2.91,,,,,,,,,,,,,,
