Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri**Ma,nmo:hasMint^^uri**Mi,nmo:hasDenomination^^uri**De,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight**We,nmo:hasMinDiameter**DMi,nmo:hasMaxDiameter**DMa,nmo:hasDie^^blank**Di,Di__nmo:hasAxis,nmo:hasObverse^^blank**Ob,nmo:hasReverse^^blank**Re,Ob__rdfs:comment,Re__rdfs:comment,Ob__nmo:hasWear**WF,Re__nmo:hasWear**WB,Ob__nmo:hasCorrosion**CF,Re__nmo:hasCorrosion**CB,Ob__nmo:hasLegend,Re__nmo:hasLegend,Ma__hasCertainty^^certainty,Mi__hasCertainty^^certainty,De__hasCertainty^^certainty,We__hasCertainty^^certainty,DMi__hasCertainty^^certainty,DMa__hasCertainty^^certainty,Di__hasCertainty^^certainty,WF__hasCertainty^^certainty,WB__hasCertainty^^certainty,CF__hasCertainty^^certainty,CB__hasCertainty^^certainty
afe:15662,,nm:ar,nm:rome,nm:denarius,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15663,,nm:ar,nm:rome,nm:denarius,,,1.05,,,,,,,,,,,,,,,,0.76,,,,,,,,,
afe:15664,,nm:ae,nm:rome,nm:sestertius,,,8.42,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15665,,nm:ar,nm:rome,nm:antoninianus,-/H//-,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15666,,nm:ar,nm:rome; nm:tarraco,nm:denarius,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15667,,nm:ae,nm:rome,nm:sestertius,,,23.11,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15668,,nm:ar,nm:mediolanum,nm:antoninianus,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15669,,nm:ar,nm:rome,nm:denarius,,,3.21,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15670,,nm:ar,nm:rome,nm:denarius,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15671,,nm:ae,nm:rome,nm:sestertius,,,15.16,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15672,,nm:ar,nm:rome,nm:denarius,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15673,,nm:ar,nm:rome,nm:denarius,,,2.62,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15674,,nm:av,nm:lugdunum,nm:aureus,,,4.0,,,1,12.0,,,,,,,,,,,,,,,,,,,,,
afe:15675,,nm:ae,,nm:ae3,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15676,,nm:ae,,nm:ae3,-/(・?)// ,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15677,,nm:ar,,nm:denarius,,,1.96,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15684,,nm:ar,nm:rome,nm:denarius,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15685,,nm:ae,nm:rome,nm:sestertius,,,14.59,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15686,,nm:ar,nm:rome,nm:denarius,,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15687,,nm:ar,nm:rome,nm:denarius,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15688,,nm:ar,nm:rome,nm:denarius,,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15689,,nm:ar,nm:rome; nm:tarraco,nm:denarius,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15690,,nm:ar,nm:rome,nm:denarius,,,3.04,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15691,,nm:ar,nm:rome,nm:denarius,,,2.87,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15692,,nm:ar,nm:rome,nm:denarius,,,2.46,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15693,,nm:ae,nm:rome,nm:sestertius,,,21.24,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15694,,nm:ae,nm:rome,nm:sestertius,,,10.6,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15695,,nm:ar,nm:rome,nm:denarius,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15698,,nm:ae,nm:rome,nm:sestertius,,,15.38,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15699,,nm:ae,nm:rome,nm:sestertius,,,20.13,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15700,,nm:ae,nm:rome,nm:sestertius,,,10.74,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15701,,nm:ae,nm:rome,nm:sestertius,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15702,,nm:ae,nm:rome,nm:sestertius,,,12.45,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15703,,nm:ar,nm:rome,nm:antoninianus,,,4.48,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15704,,nm:ae,nm:rome,nm:sestertius,,,6.39,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15705,,nm:ar,nm:rome,nm:denarius,,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15706,,nm:ar,nm:rome,nm:denarius,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15707,,nm:ar,nm:rome,nm:denarius,,,3.12,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15708,,nm:ae,nm:rome,nm:sestertius,,,6.91,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15709,,nm:ar,nm:rome,nm:denarius,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15710,,nm:ar,nm:rome,nm:denarius,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15711,,nm:ar,nm:rome,nm:denarius,,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15712,,nm:ar,nm:rome,nm:denarius,,,2.81,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15713,,nm:ar,nm:rome,nm:denarius,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15714,,nm:ar,nm:rome,nm:antoninianus,,,3.84,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15715,,nm:ar,nm:rome,nm:denarius,,,2.22,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15716,,nm:ar,nm:rome,nm:denarius,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15717,,nm:ar,nm:rome,nm:denarius,,,2.52,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15718,,nm:ar,nm:rome,nm:denarius,,,2.42,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15719,,nm:ar,nm:rome,nm:denarius,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,
afe:15804,gaz:2049601,nm:av,nm:ravenna,nm:solidus,R/V//COMOB,,4.45,21.8,21.8,,,,,,,,,,,,,,,,,,,,,,,
afe:15805,gaz:2049601,nm:av,nm:ravenna,nm:solidus,R/V//COMOB,,4.35,20.4,20.4,,,,,,,,,,,,,,,,,,,,,,,
afe:15806,gaz:2049601,nm:av,nm:ravenna,nm:solidus,R/V//COMOB,,4.39,20.9,20.9,,,,,,,,,,,,,,,,,,,,,,,
afe:15807,gaz:2049601,nm:av,nm:rome,nm:solidus,R/M//COMOB,,4.4,21.4,21.4,1,5.0,,,,,,,,,,,,,,,,,,,,,
